,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
MYO1F,21,64,41,4,150,391,54,126
MYO1G,25,67,22,3,107,224,44,118
MYO1H,0,2,1,0,3,4,1,5
MYO3A,0,0,0,0,0,0,0,0
MYO3B,0,2,1,1,0,2,2,0
MYO5A,1803,5167,1312,523,1979,2825,930,2379
MYO5B,469,1210,289,119,1018,1548,490,1319
MYO5C,556,1484,344,144,1044,1100,601,1268
MYO6,515,1512,312,157,1245,1766,689,1579
MYO7A,181,561,138,60,318,398,177,383
MYO7B,3,19,8,0,11,9,8,9
MYO9A,268,832,205,89,676,963,309,906
MYO9B,298,949,230,120,767,1156,372,876
MYOC,2,20,3,0,22,14,9,16
MYOCD,7,17,6,2,15,18,15,28
MYOD1,1,0,0,0,0,0,1,6
MYOF,78,268,81,28,257,466,88,255
MYOG,1,1,0,0,0,0,0,3
MYOM1,202,462,140,65,202,305,188,868
MYOM2,62,57,7,36,27,22,46,479
MYOM3,38,81,24,16,52,63,25,135
MYOT,33,16,2,31,1,1,25,362
MYOZ1,25,11,0,13,0,0,50,559
MYOZ2,2,0,0,2,0,6,2,31
MYOZ3,0,1,0,1,0,1,2,16
MYPN,22,11,1,7,2,1,7,146
MYPOP,58,223,56,32,90,117,50,118
MYRF,7,42,13,6,5,7,6,12
MYRFL,0,5,1,1,1,1,4,1
MYRIP,139,288,77,34,57,58,36,102
MYSM1,206,683,200,70,663,851,328,812
MYT1,0,0,0,0,0,1,0,2
MYT1L,0,1,1,0,0,2,0,1
MYZAP,54,139,35,20,124,207,70,168
MZB1,0,1,1,1,3,1,2,5
MZF1,5,16,3,1,42,44,42,53
MZT1,203,670,139,63,686,1012,365,956
N4BP1,382,1284,314,132,799,1230,380,1034
N4BP2,185,467,112,49,430,532,236,510
N4BP2L1,97,296,100,26,537,720,295,653
N4BP2L2,406,1178,323,137,905,985,443,1246
N4BP3,64,304,60,24,282,466,124,391
N6AMT1,221,751,154,75,205,277,146,251
NAA10,291,1112,247,76,649,896,346,890
NAA11,0,0,0,0,0,0,0,0
NAA15,833,3110,639,271,1497,1889,687,2072
NAA16,98,353,79,38,297,425,138,412
NAA20,1062,3750,821,373,989,1113,457,1277
NAA25,619,2414,513,239,752,872,333,967
NAA30,1109,3509,896,366,777,882,432,980
NAA35,313,1210,273,98,652,798,329,848
NAA38,176,745,152,56,294,355,152,393
NAA40,355,1552,286,102,688,815,301,882
NAA50,1393,5633,1038,463,1739,2342,946,2390
NAA60,519,1870,411,191,1083,1323,467,1348
NAAA,121,350,94,34,543,792,272,716
NAALAD2,67,166,52,23,193,268,96,250
NAALADL1,0,2,0,0,3,7,0,4
NAALADL2,1,6,2,1,12,10,1,8
NAB1,727,2244,562,200,1263,2163,691,1629
NAB2,25,108,24,12,219,205,104,232
NABP1,2902,13122,3029,1111,1447,2765,1035,1792
NABP2,315,1047,231,89,414,639,213,606
NACA,1511,6607,1256,558,3568,4780,1869,4813
NACAD,14,62,14,9,27,32,14,30
NACC1,949,2950,706,250,924,1117,406,1154
NACC2,851,2719,629,287,1179,1588,586,1616
NADK,2963,9565,2385,867,4414,5420,2113,5740
NADK2,458,1214,314,107,1286,1699,642,1776
NADSYN1,106,343,49,24,153,175,76,215
NAE1,203,754,166,68,696,902,354,903
NAF1,82,291,56,31,188,259,101,308
NAGA,102,527,104,50,511,678,257,680
NAGK,98,458,75,24,262,374,145,329
NAGLU,84,261,70,22,168,216,88,242
NAGPA,112,425,102,33,310,340,145,404
NAGS,0,0,0,0,0,0,0,0
NAIF1,44,141,44,15,125,160,47,133
NALCN,3,2,0,0,4,2,1,3
NAMPT,3589,10594,2080,1091,6439,7868,3356,8744
NANOG,2,9,4,0,14,9,5,15
NANOS1,3,5,3,2,4,5,2,5
NANOS2,0,2,0,0,2,2,0,0
NANOS3,0,0,0,0,1,0,0,0
NANP,1,0,1,0,0,19,1,3
NANS,95,266,32,29,185,293,92,256
NAP1L1,372,1329,266,128,1823,2689,875,2517
NAP1L2,0,0,0,0,0,1,0,0
NAP1L3,5,11,0,1,27,26,7,21
NAP1L4,1595,5523,1297,587,2389,3047,1239,3036
NAP1L5,61,160,57,19,219,201,68,235
NAPA,971,3983,754,330,1957,2488,943,2664
NAPB,46,244,59,42,75,109,46,105
NAPEPLD,125,420,106,40,412,492,218,581
NAPG,267,1056,223,95,714,814,312,871
NAPRT,152,637,137,62,442,682,294,631
